log2FoldChange	padj
340509	0.261950826333911	NA
291950	-0.613790082526023	NA
230263	-0.152018073941128	0.949495749483879
198239	0.461190894423752	NA
470172	0.957487096161145	NA
471486	0.294010446137638	NA
270972	0.357584066611867	0.757847811579573
186654	0.301179856817273	NA
291179	0.324382593095637	NA
533847	0.263638299179639	NA
536831	0.261950826333911	NA
316587	0.330208539402616	0.754054765620182
469946	-0.0758860586809667	NA
591049	0.231578679375912	NA
179381	0.297385906580304	NA
371870	0.202894005263641	NA
48583	0.777285012113086	NA
198434	0.329510208072129	NA
565565	0.23326615222164	NA
198432	0.0189744929670503	NA
182087	-0.373014881674797	0.481074121948268
269678	0.170834385459914	NA
178814	0.261950826333911	NA
296516	0.261950826333911	NA
511532	0.204582526235974	NA
157966	0.324382593095637	NA
290774	-0.253373540944242	0.80368677432251
59566	0.327758230151643	NA
291314	0.324382593095637	NA
66308	0.297385391829094	NA
43339	0.01480497977985	0.995042360077648
550936	0.400123776344626	0.735584294959814
76350	0.052722437027534	NA
111019	0.294010446137638	NA
232828	0.39229567919912	NA
585201	0.0111060794355511	NA
30013	0.110090091543916	NA
274244	-1.34398502500362	0.126093678889175
232823	0.324382593095637	NA
242070	0.388501832703091	NA
366702	0.261950826333911	NA
331156	0.261950826333911	NA
331150	0.13728840910536	NA
194994	0.294010446137638	NA
137557	0.265325772025367	NA
190188	0.324382593095637	NA
213747	0.100670893820826	NA
369164	-0.553627691833024	0.484221831968014
355063	0.327757538787093	NA
145968	0.231578679375912	NA
355066	0.324382593095637	NA
72853	-1.60723864886215	0.000310479270888232
531978	0.305253604309906	NA
338781	0.261950826333911	NA
471157	-0.0922179301771932	NA
288153	0.388501832703091	NA
233220	0.422668534433557	NA
212619	0.0797224441682695	NA
208901	-0.183432401585233	NA
318504	0.261950826333911	NA
158112	0.525392768885431	NA
590175	0.356442212899364	NA
22635	0.356442212899364	NA
299892	0.294010446137638	NA
313166	0.263638299179639	NA
544531	0.261950826333911	NA
181843	-0.762152272707421	0.232015563431821
23235	0.572653206741226	NA
145494	0.294010446137638	NA
365319	0.261950826333911	NA
532556	0.299134750384937	NA
92601	0.294010446137638	NA
187297	0.324382593095637	NA
558957	0.388501832703091	NA
301943	-0.855497061181101	0.431377990210249
318470	0.336214604480241	0.808901107363997
103620	0.0797179445859172	NA
560873	0.265325772025367	NA
3906	0.390251867198089	NA
145636	-0.0721427902040773	NA
145149	-0.563722435991743	0.417861430277791
213255	-1.574868155288	0.0858615513787131
74685	0.14931545128783	NA
192127	0.327757832339618	NA
